text|source|paragraphID|chunk_id|chapter|article|paragraph
"Article 51
Classification of general-purpose AI models as general-purpose AI models with systemic risk"|json|5.1.1|5.1.1|Unknown|Unknown|Unknown
"1. A general-purpose AI model shall be classified as a general-purpose AI model with 
systemic risk if it meets any of the following requirements: (a) it has high impact capabilities evaluated on the basis of appropriate technical tools 
and methodologies, including indicators and benchmarks; (b) based on a decision of the Commission, ex officio or following a qualified alert 
from the scientific panel, it has capabilities or an impact equivalent to those set out 
in point (a) having regard to the criteria set out in Annex XIII."|json|5.1.2|5.1.2|Unknown|Unknown|Unknown
"2. A general-purpose AI model shall be presumed to have high impact capabilities 
pursuant to paragraph 1, point (a), when the cumulative amount of computation used 
for its training measured in FLOPs is greater than 10^25."|json|5.1.3|5.1.3|Unknown|Unknown|Unknown
"3. The Commission shall adopt delegated acts in accordance with Article 97 to amend the 
thresholds listed in paragraphs 2 and 3 of this Article, as well as to supplement 
benchmarks and indicators in light of evolving technological developments, such as 
algorithmic improvements or increased hardware efficiency, when necessary, for these 
thresholds to reflect the state of the art."|json|5.1.4|5.1.4|Unknown|Unknown|Unknown
"Article 52
Procedure"|json|5.2.1|5.2.1|Unknown|Unknown|Unknown
"1. Where a general-purpose AI model meets the requirement referred to in Article 51(1), 
point (a), the relevant provider shall notify the Commission without delay and in any 
event within two weeks after that requirement is met or it becomes known that it will be 
met. That notification shall include the information necessary to demonstrate that the 
relevant requirement has been met. If the Commission becomes aware of a general-
purpose AI model presenting systemic risks of which it has not been notified, it may 
decide to designate it as a model with systemic risk."|json|5.2.2|5.2.2|Unknown|Unknown|Unknown
"2. The provider of a general purpose AI model that meets the requirement referred to in 
Article 51(1), point (a), may present, with its notification, sufficiently substantiated 
arguments to demonstrate that, exceptionally, although it meets that requirement, the 
general purpose AI model does not present, due to its specific characteristics, systemic 
risks and therefore should not be classified as a general-purpose AI model with systemic 
risk."|json|5.2.3|5.2.3|Unknown|Unknown|Unknown
"3. Where the Commission concludes that the arguments submitted pursuant to paragraph 2 
are not sufficiently substantiated and the relevant provider was not able to demonstrate 
that the general-purpose AI model does not present, due to its specific characteristics, 
systemic risks, it shall reject those arguments, and the general-purpose AI model shall be 
considered to be a general-purpose AI model with systemic risk."|json|5.2.4|5.2.4|Unknown|Unknown|Unknown
"4. The Commission may designate a general-purpose AI model as presenting systemic 
risks, ex officio or following a qualified alert from the scientific panel pursuant to 
Article 90(1), point (a), on the basis of criteria set out in Annex XIII. 
The Commission shall adopt delegated acts in accordance with Article 97 to specify and 
update the criteria set out in Annex XIII."|json|5.2.5|5.2.5|Unknown|Unknown|Unknown
"5. Upon a reasoned request of a provider whose model has been designated as a general-
purpose AI model with systemic risk pursuant to paragraph 4, the Commission shall take 
the request into account and may decide to reassess whether the general-purpose AI 
model can still be considered to present systemic risks on the basis of the criteria set out 
in Annex XIII. Such request shall contain objective, detailed and new reasons that have 
arisen since the designation decision. Providers may request reassessment at the earliest 
six months after the designation decision. Where the Commission, following its 
reassessment, decides to maintain the designation as a general-purpose AI model with 
systemic risk, providers may request reassessment at the earliest six months after that 
decision."|json|5.2.6|5.2.6|Unknown|Unknown|Unknown
"6. The Commission shall ensure that a list of general-purpose AI models with systemic risk 
is published and shall keep that list up to date, without prejudice to the need to observe 
and protect intellectual property rights and confidential business information or trade 
secrets in accordance with Union and national law.
Section 2
Obligations for providers of general-purpose AI models"|json|5.2.7|5.2.7|Unknown|Unknown|Unknown
"Article 53
Obligations for providers of general-purpose AI models"|json|5.3.1|5.3.1|Unknown|Unknown|Unknown
"1. Providers of general-purpose AI models shall: (a) draw up and keep up-to-date the technical documentation of the model, including 
its training and testing process and the results of its evaluation, which shall 
contain, at a minimum, the elements set out in Annex XI for the purpose of 
providing it, upon request, to the AI Office and the national competent authorities; (b) draw up, keep up-to-date and make available information and documentation to 
providers of AI systems who intend to integrate the general-purpose AI model into 
their AI systems. Without prejudice to the need to respect and protect intellectual 
property rights and confidential business information or trade secrets in 
accordance with Union and national law, the information and documentation 
shall: (i) enable providers of AI systems to have a good understanding of the 
capabilities and limitations of the general-purpose AI model and to comply 
with their obligations pursuant to this Regulation; and
(ii) contain, at a minimum, the elements set out in Annex XII;
(i) enable providers of AI systems to have a good understanding of the 
capabilities and limitations of the general-purpose AI model and to comply 
with their obligations pursuant to this Regulation; and
(ii) contain, at a minimum, the elements set out in Annex XII; (c) put in place a policy to comply with Union copyright law, and in particular to 
identify and comply with, including through state of the art technologies, a 
reservation of rights expressed pursuant to Article 4(3) of Directive (EU) 2019/790; (d) draw up and make publicly available a sufficiently detailed summary about the 
content used for training of the general-purpose AI model, according to a template 
provided by the AI Office."|json|5.3.2|5.3.2|Unknown|Unknown|Unknown
"2. The obligations set out in paragraph 1, points (a) and (b), shall not apply to providers of 
AI models that are released under a free and open licence that allows for the access, 
usage, modification, and distribution of the model, and whose parameters, including the 
weights, the information on the model architecture, and the information on model 
usage, are made publicly available. This exception shall not apply to general-purpose AI 
models with systemic risks."|json|5.3.3|5.3.3|Unknown|Unknown|Unknown
"3. Providers of general-purpose AI models shall cooperate as necessary with the 
Commission and the national competent authorities in the exercise of their competences 
and powers pursuant to this Regulation."|json|5.3.4|5.3.4|Unknown|Unknown|Unknown
"4. Providers of general-purpose AI models may rely on codes of practice within the 
meaning of Article 56 to demonstrate compliance with the obligations set out in 
paragraph 1 of this Article, until a harmonised standard is published. Providers who are 
in compliance with a European harmonised standard shall be presumed to be in 
compliance with the obligations set out in paragraph 1 of this Article. Providers of 
general-purpose AI models who do not adhere to an approved code of practice shall 
demonstrate alternative adequate means of compliance for approval by the Commission."|json|5.3.5|5.3.5|Unknown|Unknown|Unknown
"5. For the purpose of facilitating compliance with Annex XI, in particular points 2 (d) and (e) thereof, the Commission shall adopt delegated acts in accordance with Article 97 to 
detail measurement and calculation methodologies with a view to allowing for 
comparable and verifiable documentation."|json|5.3.6|5.3.6|Unknown|Unknown|Unknown
