chapter_number,chapter_title,article_number,article_id,article_title,paragraph_number,paragraph_id,point_number,text
1,General provisions,1,1.1,Subject matter,1,1.1.1,1,"Article 1
Subject matter"
1,General provisions,1,1.1,Subject matter,2,1.1.2,1,"1. The purpose of this Regulation is to improve the functioning of the internal market and 
promote the uptake of human-centric and trustworthy artificial intelligence (AI), while 
ensuring a high level of protection of health, safety, fundamental rights enshrined in the 
Charter of Fundamental Rights, including democracy, the rule of law and 
environmental protection, against the harmful effects of artificial intelligence systems 
(AI systems) in the Union, and to support innovation."
1,General provisions,1,1.1,Subject matter,3,1.1.3,1,2. This Regulation lays down:
1,General provisions,1,1.1,Subject matter,3,1.1.3,2,"(a) harmonised rules for the placing on the market, the putting into service, and the use 
of AI systems in the Union;"
1,General provisions,1,1.1,Subject matter,3,1.1.3,3,(b) prohibitions of certain AI practices;
1,General provisions,1,1.1,Subject matter,3,1.1.3,4,"(c) specific requirements for high-risk AI systems and obligations for operators of such 
systems;"
1,General provisions,1,1.1,Subject matter,3,1.1.3,5,(d) harmonised transparency rules for certain AI systems;
1,General provisions,1,1.1,Subject matter,3,1.1.3,6,(e) harmonised rules for the placing on the market of general-purpose AI models;
1,General provisions,1,1.1,Subject matter,3,1.1.3,7,"(f) rules on market monitoring, market surveillance governance and enforcement;"
1,General provisions,1,1.1,Subject matter,3,1.1.3,8,"(g) measures to support innovation, with a particular focus on SMEs, including start-
ups."
1,General provisions,2,1.2,Scope,1,1.2.1,1,"Article 2
Scope"
1,General provisions,2,1.2,Scope,2,1.2.2,1,1. This Regulation applies to:
1,General provisions,2,1.2,Scope,2,1.2.2,2,"(a) providers placing on the market or putting into service AI systems or placing on the 
market general-purpose AI models in the Union, irrespective of whether those 
providers are established or located within the Union or in a third country;"
1,General provisions,2,1.2,Scope,2,1.2.2,3,"(b) deployers of AI systems that have their place of establishment or are located within 
the Union;"
1,General provisions,2,1.2,Scope,2,1.2.2,4,"(c) providers and deployers of AI systems that have their place of establishment or are 
located in a third country, where the output produced by the AI system is used in the 
Union;"
1,General provisions,2,1.2,Scope,2,1.2.2,5,(d) importers and distributors of AI systems;
1,General provisions,2,1.2,Scope,2,1.2.2,6,"(e) product manufacturers placing on the market or putting into service an AI system 
together with their product and under their own name or trademark;"
1,General provisions,2,1.2,Scope,2,1.2.2,7,"(f) authorised representatives of providers, which are not established in the Union;"
1,General provisions,2,1.2,Scope,2,1.2.2,8,(g) affected persons that are located in the Union.
1,General provisions,2,1.2,Scope,3,1.2.3,1,2. For  AI systems classified as high-risk AI systems in accordance with Article 6(1) and
1,General provisions,2,1.2,Scope,4,1.2.4,1,"(2) related to products covered by the Union harmonisation legislation listed in section B 
of Annex I, only Article 112 applies. Article 57 applies only in so far as the requirements 
for high-risk AI systems under this Regulation have been integrated in that Union 
harmonisation legislation."
